EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,O2,DIC,DI_13C,ALK,temp_out,pressure_out,pH_out,H_out,fCO2_out,pCO2_out,HCO3,CO3,CO2,B_Alk,OH-out,P_Alk,Si_Alk,Revelle_out,ar_omega,dry_CO2,ER_pH_out,ER_H_out,ER_fCO2_out,ER_pCO2_out,ER_HCO3,ER_CO3,ER_CO2,ER_B_Alk,ER_OH-out,ER_P_Alk,ER_Si_Alk,ER_Revelle_out,ER_ar_omega,ER_dry_CO2
EXP1,Light,Control,1-CON-D0-1,0,230.158,2047,0.64,2255.9,19,0,7.951,11.2,505.2,506.9158912,1877.3,152.9,16.8,69.7,3.2,0,0,11.466,2.37,517.9,0.02,5.18E-01,27.0535,27.1467,11.4165,5.2608,0.8992,3.0715,0.1928,0,0,0.2091,0.1341,27.7364
EXP1,Light,Control,1-CON-D0-2,0,192.493,2041,0.57,2254.6,19,0,7.961,10.9,491.6,493.272816,1868.9,155.7,16.4,71,3.2,0,0,11.337,2.41,504,0.017,4.38E-01,22.7292,22.8075,8.847,4.404,0.7547,2.7985,0.1822,0,0,0.16,0.1281,23.3029
EXP1,Light,Control,1-CON-D0-3,0,202.276,2048,0.47,2257.2,19,0,7.952,11.2,504.9,506.5961086,1878,153.1,16.8,69.7,3.2,0,0,11.462,2.37,517.6,0.018,4.75E-01,23.7455,23.8273,4.8914,5.0921,0.7886,2.8807,0.184,0,0,0.1737,0.1326,24.3449
EXP1,Light,Control,1-CON-D2-1,2,203.899,2039,0.62,2255.5,19,0,7.967,10.8,484.1,485.764953,1865.3,157.5,16.1,71.8,3.3,0,0,11.263,2.44,496.3,0.013,0.33347066,17.087,17.1458,3.363,2.9418,0.5659,2.3758,0.1646,0,0,0.0716,0.1188,17.5182
EXP1,Light,Control,1-CON-D2-2,2,241.173,2019,0.81,2259.8,19,0,8.015,9.7,426,427.4812011,1832.1,172.7,14.2,78.6,3.7,0,0,10.68,2.68,436.8,0.013,2.95E-01,14.8936,14.9449,3.3009,2.9446,0.4932,2.538,0.1827,0,0,0.0516,0.1286,15.2695
EXP1,Light,Control,1-CON-D2-3,2,210.333,2046,0.44,2257.6,19,0,7.957,11.1,498.3,500.0106782,1874.8,154.6,16.6,70.4,3.2,0,0,11.399,2.4,510.9,0.013,3.39E-01,17.4375,17.4975,3.1604,2.8762,0.5775,2.3267,0.1602,0,0,0.0719,0.1165,17.8776
EXP1,Light,Control,1-CON-D4-1,4,217.712,1996,0.96,2214.6,19,0,7.977,10.5,462.6,464.1768528,1823.1,157.5,15.4,73.2,3.4,0,0,11.085,2.44,474.3,0.014,0.352010427,17.6011,17.6618,4.5118,3.4298,0.5834,2.5237,0.1735,0,0,0.0958,0.1219,18.0454
EXP1,Light,Control,1-CON-D4-2,4,229.453,2015,0.87,2253,19,0,8.01,9.8,429.9,431.3990559,1829.9,170.7,14.3,78,3.6,0,0,10.725,2.64,440.8,0.017,0.382556601,19.5358,19.6031,8.8975,4.5144,0.6486,2.9683,0.2016,0,0,0.1382,0.1379,20.0289
EXP1,Light,Control,1-CON-D4-3,4,227.49,2023,1.02,2253,19,0,7.995,10.1,448.8,450.3054946,1842.3,165.8,15,75.7,3.5,0,0,10.916,2.57,460.1,0.032,7.52E-01,39.1917,39.3267,22.9835,9.6286,1.3048,4.8911,0.2944,0,0,0.3654,0.1886,40.1809
EXP1,Light,NaOH,1-NAOH-D0-1,0,198.786,2039,113.57,2773,19,0,8.585,2.6,94.4,94.72888904,1507.9,528,3.1,195.6,13.6,0,0,7.234,8.18,96.8,0.016,9.79E-02,4.198,4.2125,12.2699,7.2412,0.1394,5.4878,0.7372,0,0,0.0265,0.3844,4.304
EXP1,Light,NaOH,1-NAOH-D0-2,0,221.508,2034,117.17,2773.2,19,0,8.59,2.6,92.7,93.01642786,1499.3,531.6,3.1,196.9,13.8,0,0,7.223,8.23,95,0.016,9.64E-02,4.0664,4.0804,11.1702,7.5397,0.135,5.4971,0.7454,0,0,0.0257,0.3882,4.169
EXP1,Light,NaOH,1-NAOH-D0-3,0,nan,2039,115.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EXP1,Light,NaOH,1-NAOH-D2-1,2,220.057,2028,112.26,2729.1,19,0,8.559,2.8,101.1,101.456029,1522.3,502.4,3.4,189.2,12.8,0,0,7.266,7.78,103.7,0.016,9.89E-02,4.0997,4.1138,7.1425,6.9794,0.136,5.2518,0.6795,0,0,0.0237,0.3662,4.2032
