EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PI_13C,POC,PO_13C,PIC_POCr,DIC,DI_13C,ALK,DOC,CHL,temp_out,pressure_out,pH_out,H_out,fCO2_out,pCO2_out,HCO3,CO3,CO2,B_Alk,OH-out,P_Alk,Si_Alk,Revelle_out,ar_omega,dry_CO2,ER_pH_out,ER_H_out,ER_fCO2_out,ER_pCO2_out,ER_HCO3,ER_CO3,ER_CO2,ER_B_Alk,ER_OH-out,ER_P_Alk,ER_Si_Alk,ER_Revelle_out,ER_ar_omega,ER_dry_CO2
EXP5,Dark,Control,5-CON-D0-1,0,2.021339543,0.422031079,374.3688494,-17.60796043,0.005399326,2094.288785,119.7911955,2250.69,108.9729501,1.78,18,0,7.849,14.1,659.9,662.1603622,1950.6,121.1,22.6,55.7,2.3,0,0,13.084,1.87,675.7,0.017,5.62E-01,29.6787,29.7822,7.2287,3.6889,1.0139,2.2844,0.1343,0,0,0.1936,0.1013,30.389
EXP5,Dark,Control,5-CON-D0-2,0,1.43471765,5.63492054,392.0341715,-18.0089389,0.003659675,2088.027188,113.2195421,2252.46,83.25545583,2.36,18,0,7.868,13.5,628.7,630.8506102,1940.7,125.8,21.6,57.8,2.4,0,0,12.819,1.94,643.7,0.046,1.44E+00,75.835,76.0996,27.4623,11.2954,2.5989,5.4566,0.2729,0,0,0.6322,0.1949,77.65
EXP5,Dark,Control,5-CON-D0-3,0,0.030935812,0.355655203,341.166982,-18.66838264,9.07E-05,2087.497934,118.8722947,2252.36,96.19287649,1.59,18,0,7.869,13.5,627,629.143404,1939.9,126.1,21.5,57.9,2.4,0,0,12.805,1.95,642,0.044,1.37E+00,72.1215,72.3732,26.1216,10.7683,2.4715,5.2254,0.2627,0,0,0.6006,0.1877,73.8477
EXP5,Dark,NaOH,5-OH-D0-1,0,1.272760415,-0.58206434,381.5191154,-16.26073332,0.003336033,2090.845482,124.1676168,2777.07,107.1780287,2.44,18,0,8.549,2.8,107.7,108.0420825,1592.5,494.7,3.7,183.8,11.4,0,0,7.37,7.64,110.2,0.021,1.37E-01,6.6012,6.6243,22.9493,11.0982,0.2259,6.2467,0.7387,0,0,0.0453,0.3827,6.7592
EXP5,Dark,NaOH,5-OH-D0-2,0,1.481218007,-1.234805874,460.3180583,-19.00919546,0.003217814,2097.592842,115.0508592,2787.97,59.49022996,2.35,18,0,8.551,2.8,107.3,107.7062298,1595.7,498.2,3.7,184.4,11.5,0,0,7.37,7.69,109.9,0.016,1.03E-01,4.4525,4.4681,8.5539,6.2332,0.152,5.2751,0.6466,0,0,0.0241,0.3579,4.5591
EXP5,Dark,NaOH,5-OH-D0-3,0,1.925632532,-2.534005898,401.8661329,-20.72962249,0.004791726,2090.653393,114.5098243,2770.46,64.61857689,1.95,18,0,8.543,2.9,109.4,109.7487119,1597.1,489.8,3.7,182.5,11.3,0,0,7.382,7.56,112,0.016,1.08E-01,4.766,4.7826,10.6552,6.7368,0.1628,5.3328,0.6437,0,0,0.027,0.3545,4.88
EXP5,Dark,Control,5-DRK-D2-CON,2,2.155211207,3.094297622,290.6076467,-19.42816854,0.007416223,2112.539118,112.7428363,2243.2,71.11642555,0.84,18,0,7.786,16.4,774.5,777.2019736,1979.7,106.3,26.6,49,2,0,0,13.974,1.64,793,0.036,1.37E+00,72.5621,72.8153,18.4439,7.7125,2.4859,3.8039,0.1862,0,0,0.5029,0.1399,74.2988
EXP5,Dark,NaOH,5-DRK-D2-OH,2,3.640793949,5.186893857,297.4114114,-20.53008632,0.012241608,2124.673545,109.1914595,2793.17,117.2715479,0.79,18,0,8.526,3,116.5,116.9377367,1637.5,483.2,4,178.4,10.8,0,0,7.446,7.46,119.3,0.021,0.140923106,6.943996237,6.968226121,22.29942064,10.50089855,0.237605009,6.075360663,0.6935172,0,0,0.048221259,0.371557873,7.110196327
EXP5,Dark,Control,5-DRK-D4-CON,4,1.379433195,3.994629082,220.8750576,-15.12148834,0.00624531,2105.144504,110.7985672,2237.46,81.54212175,0.9,18,0,7.791,16.2,763,765.6799753,1972,107,26.2,49.5,2,0,0,13.898,1.65,781.3,0.038,1.401377177,73.99446985,74.25266086,19.2596795,8.027567209,2.535131164,3.955584471,0.193323086,0,0,0.520972542,0.144378212,75.76547996
EXP5,Dark,NaOH,5-DRK-D4-OH,4,2.96612367,3.99360781,238.2251103,-18.62104145,0.012450928,2100.630887,122.1999979,2791.63,118.6818433,0.59,18,0,8.551,2.8,107.5,107.8887658,1598.1,498.8,3.7,184.4,11.5,0,0,7.372,7.7,110.1,0.016,0.106034755,4.683801233,4.700144554,10.646359,6.793242555,0.159979923,5.36790584,0.655338089,0,0,0.026518765,0.360726311,4.795905007
