EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PIC_rsd,PIC_sd,POC,POC_rsd,POC_sd,DIC,ALK,DOC,DOC_sd,CHL,O2
EXP1,Light,Control,1-CON-D0-1,0,NA,0.008755622,NA,398.5,0.024971752,9.951243356,2047,2255.9,NA,NA,1.5,230.158
EXP1,Light,Control,1-CON-D0-2,0,0.8,0.008755622,0.007004498,368,0.024971752,9.189604906,2041,2254.6,NA,NA,1.83,192.493
EXP1,Light,Control,1-CON-D0-3,0,1.1,0.008755622,0.009631185,332.7,0.024971752,8.308102044,2048,2257.2,NA,NA,2.14,202.276
EXP1,Light,Control,1-CON-D2-1,2,1.7,0.008755622,0.014884558,426.5,0.024971752,10.65045242,2039,2255.5,NA,NA,3.81,203.899
EXP1,Light,Control,1-CON-D2-2,2,1.8,0.008755622,0.01576012,595.2,0.024971752,14.86318706,2019,2259.8,NA,NA,7.69,241.173
EXP1,Light,Control,1-CON-D2-3,2,1.5,0.008755622,0.013133434,392.6,0.024971752,9.803910016,2046,2257.6,NA,NA,3.37,210.333
EXP1,Light,Control,1-CON-D4-1,4,0,0.008755622,0,549.2,0.024971752,13.71448645,1996,2214.6,NA,NA,5.49,217.712
EXP1,Light,Control,1-CON-D4-2,4,2.4,0.008755622,0.021013494,599.9,0.024971752,14.9805543,2015,2253,NA,NA,6.05,229.453
EXP1,Light,Control,1-CON-D4-3,4,3.3,0.008755622,0.028893554,725.6,0.024971752,18.11950359,2023,2253,NA,NA,4.31,227.49
EXP1,Light,NaOH,1-NAOH-D0-1,0,0.3,0.008755622,0.002626687,282.4,0.024971752,7.052022895,2039,2773,NA,NA,1.2,198.786
EXP1,Light,NaOH,1-NAOH-D0-2,0,1.2,0.008755622,0.010506747,326.1,0.024971752,8.143288478,2034,2773.2,NA,NA,3.43,221.508
EXP1,Light,NaOH,1-NAOH-D0-3,0,1.1,0.008755622,0.009631185,344.1,0.024971752,8.592780022,2039,NA,NA,NA,2.65,nan
EXP1,Light,NaOH,1-NAOH-D2-1,2,0.6,0.008755622,0.005253373,375.9,0.024971752,9.38688175,2028,2729.1,NA,NA,4.35,220.057
EXP1,Light,NaOH,1-NAOH-D2-2,2,1.5,0.008755622,0.013133434,414.1,0.024971752,10.34080269,2025,2796.2,NA,NA,5.33,220.606
EXP1,Light,NaOH,1-NAOH-D2-3,2,1.1,0.008755622,0.009631185,560.5,0.024971752,13.99666725,1975,2677.9,NA,NA,5.84,230.279
