EXP_no,Treatment1,Treatment2,Experiment_Day,DIC,DIC_sd,PIC,PIC_sd,POC,POC_sd,DOC,DOC_sd,Total_Carbon,%DIC,%DIC_sd,%PIC,%PIC_sd,%POC,%POC_sd,%DOC,%DOC_sd
EXP1,Light,Control,0,2045.333333,3.785938897,0.077165038,0.017230712,29.76133666,2.674716177,NA,NA,,,,,,,,,
EXP1,Light,Control,2,2034.666667,14.0118997,0.135377259,0.012407531,38.29281154,8.814441935,NA,NA,,,,,,,,,
EXP1,Light,Control,4,2011.333333,13.86842938,0.154330075,0.138561783,50.75834956,7.376851322,NA,NA,,,,,,,,,
EXP1,Light,NaOH,0,2037.333333,2.886751346,0.070396175,0.04006801,25.79207542,2.577274416,NA,NA,,,,,,,,,
EXP1,Light,NaOH,2,2009.333333,29.77135088,0.086641446,0.036626992,36.56539771,7.914837682,NA,NA,,,,,,,,,
EXP1,Light,NaOH,4,2020,2.828427125,0.060919767,0.017230712,48.37841735,2.389325403,NA,NA,,,,,,,,,
EXP2,Light,Control,0,2081,4,0.316782787,0.093674803,22.60800229,1.646839736,NA,NA,,,,,,,,,
EXP2,Light,Control,2,2055.333333,28.21937868,0.208480979,0.104442481,58.20139127,15.60681583,NA,NA,,,,,,,,,
EXP2,Light,Control,4,2002,14.17744688,0.265339428,0.058760593,73.34469149,2.216904202,NA,NA,,,,,,,,,
EXP2,Light,HCO3,0,2569.666667,4.041451884,0.29241488,0.037222592,21.85530472,0.41934622,NA,NA,,,,,,,,,
EXP2,Light,HCO3,2,2497.666667,11.15048579,0.335735603,0.052849174,66.77212555,7.621718292,NA,NA,,,,,,,,,
EXP2,Light,HCO3,4,2454,7,0.29782997,0.073702941,74.91100637,2.762657497,NA,NA,,,,,,,,,
EXP4,Light,Control,0,2087.747801,7.416981154,0.204289014,0.024560542,17.00259279,1.4609662,117.2171563,15.45713529,2222.2,94.0,0.3,0.01,0.001,0.8,0.1,5.3,0.7
EXP4,Light,Control,2,2059.10854,11.74021192,0.186881103,0.072681847,26.06250232,10.26499099,90.31470308,6.336564438,2175.7,94.6,0.5,0.01,0.003,1.2,0.5,4.2,0.3
EXP4,Light,Control,4,2016.571702,13.69693412,0.439156837,0.063237828,48.97359956,1.909030004,128.5189452,36.36900441,2194.5,91.9,0.6,0.02,0.003,2.2,0.1,5.9,1.7
EXP4,Light,HCO3,0,2528.025459,2.807276379,0.200112426,0.039115262,14.26505509,1.032225039,89.88734082,21.99488977,2632.4,96.0,0.1,0.01,0.001,0.5,0.0,3.4,0.8
EXP4,Light,HCO3,2,2495.75001,24.70058197,0.238997406,0.140845181,41.19652838,1.29222914,109.4100252,9.794059696,2646.6,94.3,0.9,0.01,0.005,1.6,0.0,4.1,0.4
EXP4,Light,HCO3,4,2422.521003,52.06500347,0.422457406,0.03546288,46.38936743,2.102419378,118.0913064,35.20605918,2587.4,93.6,2.0,0.02,0.001,1.8,0.1,4.6,1.4
EXP5,Light,Control,0,2089.937969,3.777198346,0.094411911,0.083076441,29.98795827,2.097753146,96.14042747,12.85882736,2216.2,94.3,0.2,0.00,0.004,1.4,0.1,4.3,0.6
EXP5,Light,Control,2,2090.202607,4.790906445,0.166743826,0.092587579,32.39505652,0.12165118,125.5895712,30.27200175,2248.4,93.0,0.2,0.01,0.004,1.4,0.0,5.6,1.3
EXP5,Light,Control,4,2056.71957,6.7638601,0.318634408,0.023918763,36.9549083,3.866088655,95.48772878,10.74129451,2189.5,93.9,0.3,0.01,0.001,1.7,0.2,4.4,0.5
EXP5,Light,NaOH,0,2093.030572,3.952208614,0.126702581,0.027086297,33.67382898,3.322661365,77.09561185,26.17802205,2203.9,95.0,0.2,0.01,0.001,1.5,0.2,3.5,1.2
EXP5,Light,NaOH,2,2086.475925,6.82026982,0.256291995,0.098581125,30.56160747,2.56116407,96.88248374,18.89170388,2214.2,94.2,0.3,0.01,0.004,1.4,0.1,4.4,0.9
EXP5,Light,NaOH,4,2044.382343,5.882456636,0.298594389,0.016029907,35.95851873,1.425300393,115.9952888,21.90502803,2196.6,93.1,0.3,0.01,0.001,1.6,0.1,5.3,1.0
EXP6,Light,CaO,0,2052.752722,8.131607299,0.458494536,0.04693295,16.37704592,3.493862839,65.94448252,2.351524406,2135.5,96.1,0.4,0.02,0.002,0.8,0.2,3.1,0.1
EXP6,Light,CaO,2,2042.824786,2.863542638,0.464109453,0.016292726,24.2096002,5.248028286,65.81455465,1.925209893,2133.3,95.8,0.1,0.02,0.001,1.1,0.2,3.1,0.1
EXP6,Light,CaO,4,2047.9465,11.12028774,0.375437998,0.083018965,22.16355844,0.953573752,63.63630612,1.073816018,2134.1,96.0,0.5,0.02,0.004,1.0,0.0,3.0,0.1
EXP6,Light,Control,0,2093.763128,3.827923241,0.392992498,0.064068008,17.75568501,2.009797711,65.17978658,1.594897509,2177.1,96.2,0.2,0.02,0.003,0.8,0.1,3.0,0.1
EXP6,Light,Control,2,2065.409642,4.296940139,0.333238139,0.07248188,27.78999865,2.29031602,64.22332963,0.735118445,2157.8,95.7,0.2,0.02,0.003,1.3,0.1,3.0,0.0
EXP6,Light,Control,4,2037.268255,11.72802979,0.282083147,0.051028238,32.59070729,1.963385288,65.65449292,1.213718179,2135.8,95.4,0.5,0.01,0.002,1.5,0.1,3.1,0.1
EXP7,Light,CaO,0,2085.19578,5.591984033,6.654116627,4.434315743,13.58801188,9.903860046,28.93930384,0.925310921,2134.4,97.7,0.3,0.31,0.208,0.6,0.5,1.4,0.0
EXP7,Light,CaO,2,2088.176766,18.10180656,3.028013668,1.669751508,13.23308661,2.037472001,25.40816182,0.503087015,2129.8,98.0,0.8,0.14,0.078,0.6,0.1,1.2,0.0
EXP7,Light,CaO,4,2071.791056,5.740550259,0.778385054,0.388046369,22.61068013,1.114828418,24.60159153,0.976287674,2119.8,97.7,0.3,0.04,0.018,1.1,0.1,1.2,0.0
