EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,DI_13C,norm_dic_iso
EXP4,Light,Control,4-CON-D0-1,0,216.1,0.955771782
EXP4,Light,Control,4-CON-D0-2,0,229.85,1.016585582
EXP4,Light,Control,4-CON-D0-3,0,232.5,1.028306059
EXP4,Light,Control,4-CON-D2-1,2,226.22,1.000530739
EXP4,Light,Control,4-CON-D2-2,2,240.41,1.063290579
EXP4,Light,Control,4-CON-D2-3,2,224.72,0.993896506
EXP4,Light,Control,4-CON-D4-1,4,227.76,1.007341884
EXP4,Light,Control,4-CON-D4-2,4,222.37,0.983502875
EXP4,Light,Control,4-CON-D4-3,4,224.77,0.994117647
EXP4,Light,HCO3,4-HCO3-D0-1,0,201.1,1.048488008
EXP4,Light,HCO3,4-HCO3-D0-2,0,183.17,0.955005214
EXP4,Light,HCO3,4-HCO3-D0-3,0,191.14,0.996558916
EXP4,Light,HCO3,4-HCO3-D2-1,2,183.49,0.956673618
EXP4,Light,HCO3,4-HCO3-D2-2,2,177.98,0.927945777
EXP4,Light,HCO3,4-HCO3-D2-3,2,193.77,1.010271116
EXP4,Light,HCO3,4-HCO3-D4-1,4,184.89,0.963972888
EXP4,Light,HCO3,4-HCO3-D4-2,4,179.23,0.934462982
EXP4,Light,HCO3,4-HCO3-D4-3,4,187.73,0.978779979
EXP5,Light,Control,5-CON-D0-1,0,119.81,1.021398124
EXP5,Light,Control,5-CON-D0-2,0,113.24,0.965387894
EXP5,Light,Control,5-CON-D0-3,0,118.89,1.013554987
EXP5,Light,Control,5-CON-D2-1,2,111.48,0.950383632
EXP5,Light,Control,5-CON-D2-2,2,106.74,0.909974425
EXP5,Light,Control,5-CON-D2-3,2,120.52,1.02745098
EXP5,Light,Control,5-CON-D4-1,4,112.45,0.958653026
EXP5,Light,Control,5-CON-D4-2,4,109.85,0.936487639
EXP5,Light,Control,5-CON-D4-3,4,105.06,0.895652174
EXP5,Light,NaOH,5-OH-D0-1,0,124.19,1.053350297
EXP5,Light,NaOH,5-OH-D0-2,0,115.07,0.975996607
EXP5,Light,NaOH,5-OH-D0-3,0,114.53,0.971416455
EXP5,Light,NaOH,5-OH-D2-1,2,109.93,0.932400339
EXP5,Light,NaOH,5-OH-D2-2,2,107.01,0.907633588
EXP5,Light,NaOH,5-OH-D2-3,2,110.46,0.936895674
EXP5,Light,NaOH,5-OH-D4-1,4,112.21,0.951738762
EXP5,Light,NaOH,5-OH-D4-2,4,107.3,0.910093299
EXP5,Light,NaOH,5-OH-D4-3,4,122.46,1.038676845
EXP6,Light,Control,6-CON-D0-1,0,73.81741376,0.953713356
EXP6,Light,Control,6-CON-D0-2,0,83.98111348,1.085027306
EXP6,Light,Control,6-CON-D0-3,0,74.41899736,0.961485754
EXP6,Light,Control,6-CON-D2-1,2,78.13821873,1.00953771
EXP6,Light,Control,6-CON-D2-2,2,79.67845113,1.029437353
EXP6,Light,Control,6-CON-D2-3,2,77.9611714,1.007250277
EXP6,Light,Control,6-CON-D4-1,4,75.86714082,0.980195618
EXP6,Light,Control,6-CON-D4-2,4,89.34643109,1.154346655
EXP6,Light,Control,6-CON-D4-3,4,76.34667164,0.986391106
EXP6,Light,CaO,6-CaO-D0-1,0,78.61500472,0.964601285
EXP6,Light,CaO,6-CaO-D0-2,0,81.36261182,0.998314255
EXP6,Light,CaO,6-CaO-D0-3,0,84.4618901,1.03634221
EXP6,Light,CaO,6-CaO-D4-4,4,84.3517828,1.0349912
EXP6,Light,CaO,6-CaO-D2-2,2,116.5297529,1.429812919
EXP6,Light,CaO,6-CaO-D2-3,2,77.56051556,0.951662768
EXP6,Light,CaO,6-CaO-D4-1,4,90.06753432,1.105123121
EXP6,Light,CaO,6-CaO-D4-2,4,75.32215778,0.924198255
EXP6,Light,CaO,6-CaO-D4-3,4,67.61012388,0.829572072
EXP7,Light,Control,7-CON-D0-1,0,108.6427128,1.012513632
EXP7,Light,Control,7-CON-D0-2,0,109.7386801,1.02272768
EXP7,Light,Control,7-CON-D0-3,0,103.666195,0.966134156
EXP7,Light,Control,7-CON-D2-1,2,100.6688639,0.938200036
EXP7,Light,Control,7-CON-D2-2,2,106.4578131,0.992151101
EXP7,Light,Control,7-CON-D2-3,2,107.743886,1.004136868
EXP7,Light,Control,7-CON-D4-1,4,114.0813687,1.063200081
EXP7,Light,Control,7-CON-D4-2,4,118.5202613,1.104569071
EXP7,Light,Control,7-CON-D4-3,4,108.655022,1.012628351
EXP7,Light,CaO,7-CaO-D0-1,0,112.617372,0.979281495
EXP7,Light,CaO,7-CaO-D0-2,0,112.990345,0.982524739
EXP7,Light,CaO,7-CaO-D0-3,0,119.4979232,1.039112376
EXP7,Light,CaO,7-CaO-D2-1,2,102.8567436,0.894406466
EXP7,Light,CaO,7-CaO-D2-2,2,116.563052,1.013591756
EXP7,Light,CaO,7-CaO-D2-3,2,102.9229594,0.894982256
EXP7,Light,CaO,7-CaO-D4-1,4,106.9281483,0.929809985
EXP7,Light,CaO,7-CaO-D4-2,4,113.5492,0.987384348
EXP7,Light,CaO,7-CaO-D4-3,4,114.8269075,0.998494848
EXP8,Light,Control,8-CON-D0-1,0,112.9,0.986026201
EXP8,Light,Control,8-CON-D0-2,0,113.7,0.9930131
EXP8,Light,Control,8-CON-D0-3,0,117.1,1.022707424
EXP8,Light,Control,8-CON-D2-1,2,105.2,0.918777293
EXP8,Light,Control,8-CON-D2-2,2,104.8,0.915283843
EXP8,Light,Control,8-CON-D2-3,2,106.4,0.929257642
EXP8,Light,Control,8-CON-D4-1,4,108.8,0.950218341
EXP8,Light,Control,8-CON-D4-2,4,108.9,0.951091703
EXP8,Light,Control,8-CON-D4-3,4,104.7,0.91441048
EXP8,Light,CaO,8-CaO-D0-1,0,118.8,1.056
EXP8,Light,CaO,8-CaO-D0-2,0,112.6,1.000888889
EXP8,Light,CaO,8-CaO-D0-3,0,106.1,0.943111111
EXP8,Light,CaO,8-CaO-D2-1,2,108.5,0.964444444
EXP8,Light,CaO,8-CaO-D2-2,2,112.4,0.999111111
EXP8,Light,CaO,8-CaO-D2-3,2,113.3,1.007111111
EXP8,Light,CaO,8-CaO-D4-1,4,114.3,1.016
EXP8,Light,CaO,8-CaO-D4-2,4,112.9,1.003555556
EXP8,Light,CaO,8-CaO-D4-3,4,107.4,0.954666667
